,img_id,img_name,img_path,category_id,label,img_set
0,image_00190,image_00190.jpg,jpg/image_00190.jpg,76.0,passion flower,train
1,image_00067,image_00067.jpg,jpg/image_00067.jpg,76.0,passion flower,train
2,image_00234,image_00234.jpg,jpg/image_00234.jpg,76.0,passion flower,train
3,image_00241,image_00241.jpg,jpg/image_00241.jpg,76.0,passion flower,train
4,image_00040,image_00040.jpg,jpg/image_00040.jpg,76.0,passion flower,train
5,image_00103,image_00103.jpg,jpg/image_00103.jpg,76.0,passion flower,train
6,image_00232,image_00232.jpg,jpg/image_00232.jpg,76.0,passion flower,train
7,image_00154,image_00154.jpg,jpg/image_00154.jpg,76.0,passion flower,train
8,image_00124,image_00124.jpg,jpg/image_00124.jpg,76.0,passion flower,train
9,image_00016,image_00016.jpg,jpg/image_00016.jpg,76.0,passion flower,train
10,image_00085,image_00085.jpg,jpg/image_00085.jpg,76.0,passion flower,train
11,image_00199,image_00199.jpg,jpg/image_00199.jpg,76.0,passion flower,train
12,image_00218,image_00218.jpg,jpg/image_00218.jpg,76.0,passion flower,train
13,image_00138,image_00138.jpg,jpg/image_00138.jpg,76.0,passion flower,train
14,image_00110,image_00110.jpg,jpg/image_00110.jpg,76.0,passion flower,train
15,image_00164,image_00164.jpg,jpg/image_00164.jpg,76.0,passion flower,train
16,image_00018,image_00018.jpg,jpg/image_00018.jpg,76.0,passion flower,train
17,image_00144,image_00144.jpg,jpg/image_00144.jpg,76.0,passion flower,train
18,image_00171,image_00171.jpg,jpg/image_00171.jpg,76.0,passion flower,train
19,image_00081,image_00081.jpg,jpg/image_00081.jpg,76.0,passion flower,train
20,image_00207,image_00207.jpg,jpg/image_00207.jpg,76.0,passion flower,train
21,image_00092,image_00092.jpg,jpg/image_00092.jpg,76.0,passion flower,train
22,image_00106,image_00106.jpg,jpg/image_00106.jpg,76.0,passion flower,train
23,image_00041,image_00041.jpg,jpg/image_00041.jpg,76.0,passion flower,train
24,image_00140,image_00140.jpg,jpg/image_00140.jpg,76.0,passion flower,train
25,image_00097,image_00097.jpg,jpg/image_00097.jpg,76.0,passion flower,train
26,image_00182,image_00182.jpg,jpg/image_00182.jpg,76.0,passion flower,train
27,image_00223,image_00223.jpg,jpg/image_00223.jpg,76.0,passion flower,train
28,image_00084,image_00084.jpg,jpg/image_00084.jpg,76.0,passion flower,train
29,image_00019,image_00019.jpg,jpg/image_00019.jpg,76.0,passion flower,train
30,image_00245,image_00245.jpg,jpg/image_00245.jpg,76.0,passion flower,train
31,image_00114,image_00114.jpg,jpg/image_00114.jpg,76.0,passion flower,train
32,image_00158,image_00158.jpg,jpg/image_00158.jpg,76.0,passion flower,train
33,image_00037,image_00037.jpg,jpg/image_00037.jpg,76.0,passion flower,train
34,image_00224,image_00224.jpg,jpg/image_00224.jpg,76.0,passion flower,train
35,image_00149,image_00149.jpg,jpg/image_00149.jpg,76.0,passion flower,train
36,image_00188,image_00188.jpg,jpg/image_00188.jpg,76.0,passion flower,train
37,image_00221,image_00221.jpg,jpg/image_00221.jpg,76.0,passion flower,train
38,image_00184,image_00184.jpg,jpg/image_00184.jpg,76.0,passion flower,train
39,image_00050,image_00050.jpg,jpg/image_00050.jpg,76.0,passion flower,train
40,image_00117,image_00117.jpg,jpg/image_00117.jpg,76.0,passion flower,train
41,image_00029,image_00029.jpg,jpg/image_00029.jpg,76.0,passion flower,train
42,image_00135,image_00135.jpg,jpg/image_00135.jpg,76.0,passion flower,train
43,image_00088,image_00088.jpg,jpg/image_00088.jpg,76.0,passion flower,train
44,image_00090,image_00090.jpg,jpg/image_00090.jpg,76.0,passion flower,train
45,image_00119,image_00119.jpg,jpg/image_00119.jpg,76.0,passion flower,train
46,image_00208,image_00208.jpg,jpg/image_00208.jpg,76.0,passion flower,train
47,image_00133,image_00133.jpg,jpg/image_00133.jpg,76.0,passion flower,train
48,image_00181,image_00181.jpg,jpg/image_00181.jpg,76.0,passion flower,train
49,image_00228,image_00228.jpg,jpg/image_00228.jpg,76.0,passion flower,train
50,image_00039,image_00039.jpg,jpg/image_00039.jpg,76.0,passion flower,train
51,image_00014,image_00014.jpg,jpg/image_00014.jpg,76.0,passion flower,train
52,image_00074,image_00074.jpg,jpg/image_00074.jpg,76.0,passion flower,train
53,image_00169,image_00169.jpg,jpg/image_00169.jpg,76.0,passion flower,train
54,image_00193,image_00193.jpg,jpg/image_00193.jpg,76.0,passion flower,train
55,image_00213,image_00213.jpg,jpg/image_00213.jpg,76.0,passion flower,train
56,image_00246,image_00246.jpg,jpg/image_00246.jpg,76.0,passion flower,train
57,image_00013,image_00013.jpg,jpg/image_00013.jpg,76.0,passion flower,train
58,image_00051,image_00051.jpg,jpg/image_00051.jpg,76.0,passion flower,train
59,image_00249,image_00249.jpg,jpg/image_00249.jpg,76.0,passion flower,train
60,image_00072,image_00072.jpg,jpg/image_00072.jpg,76.0,passion flower,train
61,image_00235,image_00235.jpg,jpg/image_00235.jpg,76.0,passion flower,train
62,image_00020,image_00020.jpg,jpg/image_00020.jpg,76.0,passion flower,train
63,image_00102,image_00102.jpg,jpg/image_00102.jpg,76.0,passion flower,train
64,image_00230,image_00230.jpg,jpg/image_00230.jpg,76.0,passion flower,train
65,image_00061,image_00061.jpg,jpg/image_00061.jpg,76.0,passion flower,train
66,image_00064,image_00064.jpg,jpg/image_00064.jpg,76.0,passion flower,train
67,image_00155,image_00155.jpg,jpg/image_00155.jpg,76.0,passion flower,train
68,image_00137,image_00137.jpg,jpg/image_00137.jpg,76.0,passion flower,train
69,image_00175,image_00175.jpg,jpg/image_00175.jpg,76.0,passion flower,train
70,image_00083,image_00083.jpg,jpg/image_00083.jpg,76.0,passion flower,train
71,image_00183,image_00183.jpg,jpg/image_00183.jpg,76.0,passion flower,train
72,image_00068,image_00068.jpg,jpg/image_00068.jpg,76.0,passion flower,train
73,image_00093,image_00093.jpg,jpg/image_00093.jpg,76.0,passion flower,train
74,image_00021,image_00021.jpg,jpg/image_00021.jpg,76.0,passion flower,train
75,image_00022,image_00022.jpg,jpg/image_00022.jpg,76.0,passion flower,train
76,image_00168,image_00168.jpg,jpg/image_00168.jpg,76.0,passion flower,train
77,image_00038,image_00038.jpg,jpg/image_00038.jpg,76.0,passion flower,train
78,image_00212,image_00212.jpg,jpg/image_00212.jpg,76.0,passion flower,train
79,image_00160,image_00160.jpg,jpg/image_00160.jpg,76.0,passion flower,train
80,image_00108,image_00108.jpg,jpg/image_00108.jpg,76.0,passion flower,train
81,image_00015,image_00015.jpg,jpg/image_00015.jpg,76.0,passion flower,train
82,image_00251,image_00251.jpg,jpg/image_00251.jpg,76.0,passion flower,train
83,image_00032,image_00032.jpg,jpg/image_00032.jpg,76.0,passion flower,train
84,image_00036,image_00036.jpg,jpg/image_00036.jpg,76.0,passion flower,train
85,image_00157,image_00157.jpg,jpg/image_00157.jpg,76.0,passion flower,train
86,image_00058,image_00058.jpg,jpg/image_00058.jpg,76.0,passion flower,train
87,image_00210,image_00210.jpg,jpg/image_00210.jpg,76.0,passion flower,train
88,image_00011,image_00011.jpg,jpg/image_00011.jpg,76.0,passion flower,train
89,image_00010,image_00010.jpg,jpg/image_00010.jpg,76.0,passion flower,train
90,image_00087,image_00087.jpg,jpg/image_00087.jpg,76.0,passion flower,train
91,image_00005,image_00005.jpg,jpg/image_00005.jpg,76.0,passion flower,train
92,image_00033,image_00033.jpg,jpg/image_00033.jpg,76.0,passion flower,train
93,image_00209,image_00209.jpg,jpg/image_00209.jpg,76.0,passion flower,train
94,image_00148,image_00148.jpg,jpg/image_00148.jpg,76.0,passion flower,train
95,image_00024,image_00024.jpg,jpg/image_00024.jpg,76.0,passion flower,train
96,image_00191,image_00191.jpg,jpg/image_00191.jpg,76.0,passion flower,train
97,image_00120,image_00120.jpg,jpg/image_00120.jpg,76.0,passion flower,train
